Seat No,OBJEC,FUNDA,WEB A,NUMER,GIT,OB PR,FUNPR,WD PR,NM PR,SQ PR,Total,CGPA
19045,0,0,0,0,0,0,0,0,0,0,0,0.00
19046,20,12,20,16,18,20,20,20,20,20,186,9.30
19047,20,16,18,20,16,16,12,20,20,20,178,8.90
19048,16,12,12,14,12,16,8,20,20,20,150,7.50
19049,8,8,12,12,12,12,20,10,12,20,126,6.30
19050,16,12,20,14,18,20,20,18,16,20,174,8.70
19051,0,0,0,0,0,0,0,0,0,0,0,0.00
19052,0,0,0,0,0,0,0,0,0,0,0,0.00
19053,0,0,0,0,0,0,0,0,0,0,0,0.00
19054,8,8,8,12,0,8,8,8,16,8,84,0.00
19055,0,0,0,0,0,0,0,0,0,0,0,0.00
19056,14,8,12,14,8,20,18,20,16,20,150,7.50
19057,0,0,0,0,0,0,0,0,0,0,0,0.00
19058,10,16,18,16,14,20,18,20,20,20,172,8.60
19059,16,10,16,14,8,8,20,16,12,12,132,6.60
19060,10,8,12,0,8,8,20,12,18,0,96,0.00
19061,12,8,12,14,8,12,12,18,12,18,126,6.30
19062,0,0,0,0,8,8,20,8,12,0,56,0.00
19063,0,0,0,0,8,10,8,8,12,8,54,0.00
19064,0,0,0,0,0,0,0,0,0,0,0,0.00
19065,8,0,0,8,8,14,0,12,8,16,74,0.00
19066,14,12,10,14,12,16,8,20,20,12,138,6.90
19067,8,0,0,12,8,12,12,20,12,12,96,0.00
19068,8,0,10,8,8,12,0,10,12,8,76,0.00
19069,18,16,10,18,16,8,20,18,20,20,164,8.20
19070,0,0,0,0,0,0,0,0,0,0,0,0.00
19071,10,8,12,14,10,8,12,20,20,16,130,6.50
19072,12,12,12,16,8,8,12,18,20,16,134,6.70
19073,0,0,0,10,0,8,0,8,18,0,44,0.00
19074,20,16,18,18,18,16,20,20,20,20,186,9.30
19075,8,0,8,8,8,0,12,0,12,0,56,0.00
19076,10,0,10,12,8,18,8,18,10,8,102,0.00
19077,10,10,14,8,10,8,8,12,12,8,100,5.00
19078,0,0,0,0,0,0,0,0,0,0,0,0.00
19079,0,0,8,0,8,0,12,12,12,0,52,0.00
19080,0,0,0,0,0,8,18,12,0,8,46,0.00
19081,18,8,20,16,18,20,18,20,20,20,178,8.90
19082,8,10,14,0,8,8,8,18,8,0,82,0.00
19083,14,10,18,14,8,20,16,20,10,20,150,7.50
19084,20,20,20,20,20,20,20,20,20,20,200,10.00
19085,8,8,0,12,8,14,18,18,12,20,118,0.00
19086,10,0,14,8,0,14,16,12,16,14,104,0.00
19087,18,14,20,18,8,20,16,20,20,16,170,8.50
19088,16,12,16,14,12,16,20,20,20,20,166,8.30
19089,20,20,20,20,14,20,20,20,20,20,194,9.70
19090,0,0,0,0,0,0,0,0,0,0,0,0.00
19091,12,0,16,14,8,20,16,14,20,12,132,0.00
19092,20,20,20,20,20,20,20,20,20,20,200,10.00
19093,20,20,20,20,20,20,20,20,20,20,200,10.00
