Seat No,FC,BOT 1,BOT 2,BOT 3,BOT P,CHE 1,CHE 2,CHE 3,CHE P,Total,CGPA
16055,20,20,20,20,30,20,20,18,30,198,9.90
16056,18,16,18,16,30,20,16,14,30,178,8.90
16057,16,8,10,0,15,16,0,12,0,77,0.00
16058,10,10,0,8,27,14,0,14,30,113,0.00
16059,12,0,0,0,27,18,0,10,27,94,0.00
16060,16,14,8,10,24,16,18,16,27,149,7.45
16061,18,8,8,14,30,18,0,12,27,135,0.00
16062,0,0,0,8,24,8,0,0,24,64,0.00
16063,12,0,0,8,30,8,10,8,30,106,0.00
16064,16,0,0,10,24,12,10,14,30,116,0.00
16065,10,0,8,8,30,8,10,0,27,101,0.00
16066,16,8,8,14,30,14,16,16,30,152,7.60
16067,16,8,8,0,24,12,16,16,30,130,0.00
16068,16,0,8,8,30,8,14,12,30,126,0.00
16069,0,0,0,0,0,0,0,8,0,8,0.00
16070,16,0,8,14,30,16,16,16,30,146,0.00
16071,12,0,8,0,30,8,8,0,27,93,0.00
16072,14,0,8,8,24,8,8,0,24,94,0.00
16073,8,0,0,8,30,10,12,8,27,103,0.00
16074,16,20,18,16,30,20,18,20,30,188,9.40
16075,10,0,0,8,27,8,8,10,27,98,0.00
16076,18,20,20,16,30,18,20,20,30,192,9.60
16077,16,18,14,16,30,18,20,20,30,182,9.10
16078,16,18,16,18,30,18,18,20,30,184,9.20
16079,16,12,8,10,30,10,12,8,30,136,6.80
16080,14,8,0,8,30,8,8,8,24,108,0.00
16081,18,8,0,8,30,10,16,16,30,136,0.00
16082,14,0,0,8,27,10,16,16,30,121,0.00
16083,18,8,8,8,30,10,14,10,30,136,6.80
16084,14,8,8,12,0,10,16,16,0,84,0.00
16085,10,0,0,0,27,8,10,10,27,92,0.00
16086,10,0,0,8,30,10,12,10,30,110,0.00
16087,10,0,0,0,27,0,8,8,24,77,0.00
16088,14,0,8,8,30,14,10,14,30,128,0.00
16089,16,16,10,10,30,14,18,18,30,162,8.10
16090,0,8,8,8,24,0,10,8,21,87,0.00
16091,14,16,20,16,30,16,18,14,30,174,8.70
16092,0,8,0,8,27,8,10,12,30,103,0.00
16093,20,16,12,12,30,16,18,18,30,172,8.60
16094,18,20,14,12,30,18,20,18,30,180,9.00
16095,16,10,10,14,30,16,20,18,30,164,8.20
16096,18,16,16,12,27,16,20,20,30,175,8.75
16097,18,12,16,8,30,16,16,14,30,160,8.00
16098,18,8,10,8,27,16,16,14,30,147,7.35
16099,18,10,14,14,30,16,18,20,30,170,8.50
16100,14,0,0,8,24,12,16,16,30,120,0.00
16101,0,0,0,0,0,0,0,0,0,0,0.00
16102,12,8,8,8,30,8,10,12,27,123,6.15
16103,14,14,10,14,27,14,14,16,30,153,7.65
16104,18,16,14,16,30,14,16,16,30,170,8.50
16105,18,20,20,20,30,16,18,20,30,192,9.60
16106,18,8,12,10,24,16,16,18,30,152,7.60
16107,16,20,20,20,30,20,20,20,30,196,9.80
16108,16,20,20,20,30,20,20,18,30,194,9.70
16109,12,16,20,20,30,16,16,16,30,176,8.80
16110,16,20,20,20,30,20,20,20,30,196,9.80
16111,12,0,10,8,24,12,0,0,27,93,0.00
16112,16,20,20,18,30,20,20,20,30,194,9.70
16113,12,12,18,12,30,20,14,12,30,160,8.00
16114,16,20,18,20,30,20,18,18,30,190,9.50
