Seat No,JAVA,CJP,IES,IESP,CST,CSTP,SE,SEP,CGA,CGAP,Total,CGPA
24059,0,8,0,8,0,10,0,8,10,8,52,0.00
24060,8,8,16,20,16,20,10,14,12,20,144,7.20
24061,10,20,10,20,12,20,14,20,10,20,156,7.80
24062,12,8,12,20,16,20,0,20,14,18,140,0.00
24063,10,8,8,20,12,20,0,18,12,20,128,0.00
24064,0,8,8,16,14,16,0,12,10,8,92,0.00
24065,12,8,8,8,12,10,8,20,10,18,114,5.70
24066,0,8,0,12,0,16,0,18,0,8,62,0.00
24067,0,0,0,0,0,0,0,0,0,0,0,0.00
24068,8,8,8,20,10,18,0,20,0,20,112,0.00
24069,0,0,0,0,0,0,0,0,0,0,0,0.00
24070,0,8,0,20,12,12,0,18,10,20,100,0.00
24071,0,0,0,16,0,8,0,18,0,18,60,0.00
24072,0,0,0,12,8,16,0,8,0,8,52,0.00
24073,8,8,10,20,0,16,0,18,12,12,104,0.00
24074,10,8,10,14,12,16,8,20,14,20,132,6.60
24075,8,8,0,20,10,18,0,20,12,12,108,0.00
24076,8,8,14,20,18,18,0,16,14,20,136,0.00
24077,0,8,0,12,12,0,0,18,0,18,68,0.00
24078,14,18,8,20,20,20,0,20,12,20,152,0.00
24079,10,8,10,20,10,18,0,20,0,18,114,0.00
24080,0,0,0,10,8,0,0,8,0,0,26,0.00
24081,12,20,14,20,16,18,10,20,18,20,168,8.40
24082,10,8,8,14,14,12,10,20,16,10,122,6.10
24083,0,12,10,18,8,20,8,18,8,18,120,0.00
24084,0,0,0,12,0,8,0,8,0,8,36,0.00
24085,10,8,12,12,18,16,8,12,10,18,124,6.20
24086,10,14,16,18,12,16,8,16,8,20,138,6.90
24087,0,0,0,8,0,10,0,16,0,8,42,0.00
24088,10,8,16,20,12,12,0,20,12,20,130,0.00
24089,0,0,8,8,10,12,0,16,0,16,70,0.00
24090,10,8,10,10,10,20,8,20,0,14,110,0.00
24091,12,8,16,20,12,16,8,20,12,16,140,7.00
24092,16,8,18,20,16,20,8,20,16,20,162,8.10
24093,0,0,0,0,0,0,0,0,0,0,0,0.00
24094,8,8,8,18,12,18,10,16,10,18,126,6.30
24095,8,8,8,18,14,18,8,18,10,20,130,6.50
24096,16,20,12,20,18,20,16,20,14,16,172,8.60
24097,20,20,20,20,20,20,14,20,20,20,194,9.70
24098,10,8,8,20,10,20,10,20,14,20,140,7.00
24099,10,8,8,12,14,20,8,20,12,20,132,6.60
24100,10,8,12,12,10,16,8,20,14,16,126,6.30
24101,12,8,12,20,16,20,8,20,14,20,150,7.50
24102,12,20,16,16,20,20,0,18,14,20,156,0.00
24103,0,0,0,0,0,0,0,0,0,0,0,0.00
24104,8,8,8,20,14,20,8,20,10,12,128,6.40
24105,8,8,8,12,8,10,0,18,8,14,94,0.00
24106,8,0,0,8,0,8,0,0,0,12,36,0.00
24107,18,20,14,20,18,20,12,20,12,20,174,8.70
24108,0,0,0,0,0,0,0,0,0,0,0,0.00
24109,8,0,8,18,12,20,8,16,12,18,120,0.00
24110,8,0,0,12,12,12,0,14,0,12,70,0.00
24111,0,0,0,0,0,8,0,18,0,8,34,0.00
24112,8,8,8,8,8,8,0,18,0,18,84,0.00
24113,0,0,0,0,12,8,0,8,10,18,56,0.00
24114,16,20,16,20,20,20,14,20,18,20,184,9.20
24115,0,0,0,12,10,8,0,0,10,16,56,0.00
24116,12,8,14,20,12,20,8,20,14,20,148,7.40
24117,0,0,0,0,0,8,0,16,0,16,40,0.00
24118,8,0,8,8,8,0,0,16,10,0,58,0.00
24119,20,20,20,20,20,20,14,20,20,20,194,9.70
24120,16,20,16,20,20,20,12,20,20,20,184,9.20
24121,0,0,0,10,0,12,0,8,0,8,38,0.00
24122,0,0,0,8,0,8,0,8,8,8,40,0.00
24123,0,0,0,20,0,8,0,12,8,12,60,0.00
24124,12,8,16,18,12,20,12,20,12,20,150,7.50
24125,0,0,0,0,0,0,0,0,0,0,0,0.00
24126,12,8,0,18,8,18,0,20,10,18,112,0.00
24127,8,8,16,20,12,20,8,20,16,20,148,7.40
24128,0,0,0,0,8,12,8,16,8,8,60,0.00
24129,8,0,8,12,8,12,0,18,8,8,82,0.00
24130,8,8,12,20,16,20,10,20,16,20,150,7.50
24131,16,8,18,20,20,20,12,20,18,20,172,8.60
24132,12,16,10,16,18,8,0,12,12,20,124,0.00
24133,8,8,10,8,12,12,0,18,16,16,108,0.00
24134,0,0,0,8,0,8,0,10,0,0,26,0.00
24135,8,8,8,10,0,18,8,20,10,20,110,0.00
24136,0,0,0,8,8,18,0,18,0,8,60,0.00
