Seat No,PPWC,DLA,FDMS,CLDS,TCS,PR1,PR2,PR3,PR4,PR5,Total,CGPA
19089,0,10,0,0,0,8,20,16,8,20,82,0.00
19090,0,0,0,0,8,0,0,0,0,0,8,0.00
19091,0,8,0,0,0,12,12,12,0,20,64,0.00
19092,20,12,18,18,14,20,12,20,20,16,170,8.50
19093,12,18,16,16,8,20,20,18,16,20,164,8.20
19094,10,14,8,12,8,20,8,16,14,20,130,6.50
19095,8,12,8,10,16,20,12,14,8,10,118,5.90
19096,0,0,0,0,8,0,8,8,8,14,46,0.00
19097,18,16,18,18,18,20,20,20,16,20,184,9.20
19098,0,8,0,0,0,18,0,8,0,8,42,0.00
19099,0,0,0,0,14,18,8,8,8,20,76,0.00
19100,0,8,8,10,8,20,12,18,8,20,112,0.00
19101,0,8,8,12,0,18,12,12,12,8,90,0.00
19102,0,0,0,10,0,18,18,8,8,8,70,0.00
19103,16,14,18,14,14,20,20,20,8,20,164,8.20
19104,0,10,0,12,0,18,12,16,0,16,84,0.00
19105,16,18,16,18,14,18,16,20,12,20,168,8.40
19106,14,14,20,16,16,20,20,20,16,20,176,8.80
19107,0,0,0,0,8,0,8,8,0,14,38,0.00
19108,8,16,10,14,12,8,8,8,16,20,120,6.00
19109,0,0,0,0,0,8,0,8,8,18,42,0.00
19110,12,18,14,16,12,20,20,12,20,14,158,7.90
19111,16,12,12,12,8,20,10,16,20,14,140,7.00
19112,0,8,0,0,0,0,0,0,0,20,28,0.00
19113,10,12,8,10,8,20,8,8,20,20,124,6.20
19114,16,14,16,16,12,20,20,20,20,16,170,8.50
19115,0,10,10,10,16,10,12,16,8,20,112,0.00
19116,0,18,12,0,14,0,0,0,0,0,44,0.00
19117,0,8,0,8,0,12,18,16,12,20,94,0.00
19118,8,8,8,12,8,16,8,20,8,12,108,5.40
19119,12,16,8,16,12,12,20,16,8,20,140,7.00
19120,0,8,0,0,0,20,8,12,14,20,82,0.00
19121,18,20,18,20,16,20,20,20,20,20,192,9.60
19122,16,20,16,16,10,20,20,20,18,20,176,8.80
19123,0,0,0,0,10,0,0,0,0,18,28,0.00
19124,8,10,0,14,8,8,16,14,8,16,102,0.00
19125,10,0,8,8,8,12,12,10,0,20,88,0.00
19126,0,0,0,0,8,12,8,16,0,20,64,0.00
19127,16,20,18,18,16,20,20,20,16,20,184,9.20
19128,10,14,0,12,8,18,12,18,0,20,112,0.00
19129,0,0,0,8,0,12,0,14,0,16,50,0.00
19130,14,16,16,12,16,12,8,20,14,20,148,7.40
19131,20,20,12,20,10,20,20,18,16,20,176,8.80
19132,10,0,0,0,10,8,18,12,8,20,86,0.00
19133,8,10,0,0,10,18,20,8,8,20,102,0.00
19134,0,0,0,0,0,8,12,8,0,16,44,0.00
19135,10,8,10,10,14,12,12,14,0,20,110,0.00
19136,16,16,14,18,14,20,20,20,12,20,170,8.50
19137,18,14,18,12,12,20,12,20,10,20,156,7.80
19138,0,8,10,10,10,14,12,18,8,20,110,0.00
19139,16,20,12,16,8,20,20,20,16,20,168,8.40
19140,16,16,12,16,12,12,8,18,16,20,146,7.30
19141,0,8,0,0,0,12,8,8,10,12,58,0.00
19142,14,10,0,0,0,14,16,18,16,20,108,0.00
19143,0,0,0,0,0,16,20,8,8,20,72,0.00
